VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
8,4,4,2.579,0.698,0.104,1.46,0.312
8,4,6,2.81,0.688,0.139,1.38,0.417
8,4,8,3.213,0.652,0.171,1.392,0.513
8,4,10,3.398,0.666,0.191,1.452,0.573
8,4,12,3.78,0.649,0.211,1.457,0.633
8,4,14,4.134,0.615,0.216,1.361,0.648
8,4,16,4.222,0.647,0.241,1.455,0.723
8,4,18,4.809,0.59,0.231,1.378,0.693
8,4,20,4.962,0.608,0.239,1.404,0.717
8,4,22,5.113,0.621,0.245,1.447,0.735
8,4,24,5.668,0.605,0.253,1.419,0.759
8,4,26,5.623,0.608,0.255,1.402,0.765
8,4,28,6.123,0.587,0.261,1.373,0.783
8,4,30,6.557,0.578,0.268,1.432,0.804
8,4,32,6.533,0.598,0.273,1.426,0.819
8,4,34,6.856,0.584,0.264,1.38,0.792
8,4,36,7.1,0.606,0.252,1.444,0.756
8,4,38,7.349,0.576,0.262,1.386,0.786
8,4,40,7.597,0.602,0.275,1.476,0.825
8,4,42,8.164,0.566,0.254,1.34,0.762
8,4,44,8.418,0.574,0.251,1.382,0.753
8,4,46,8.608,0.568,0.295,1.384,0.885
8,4,48,8.527,0.576,0.288,1.398,0.864
8,4,50,9.444,0.542,0.267,1.318,0.801
8,4,52,10.187,0.564,0.26,1.372,0.78
8,4,54,9.671,0.574,0.284,1.402,0.852
8,4,56,10.744,0.544,0.27,1.362,0.81
8,4,58,11.022,0.517,0.254,1.265,0.762
8,4,60,10.437,0.561,0.293,1.391,0.879
8,4,62,11.471,0.506,0.257,1.25,0.771
8,4,64,11.031,0.558,0.295,1.398,0.885
8,6,2,2.133,0.661,0.046,1.301,0.138
8,6,4,2.541,0.728,0.083,1.438,0.249
8,6,6,2.733,0.751,0.122,1.495,0.366
8,6,8,3.047,0.683,0.157,1.399,0.471
8,6,10,3.35,0.645,0.142,1.327,0.426
8,6,12,3.733,0.618,0.141,1.312,0.423
8,6,14,3.73,0.675,0.194,1.443,0.582
8,6,16,4.03,0.636,0.181,1.38,0.543
8,6,18,4.268,0.647,0.187,1.407,0.561
8,6,20,4.58,0.628,0.205,1.438,0.615
8,6,22,4.63,0.622,0.214,1.38,0.642
8,6,24,4.928,0.633,0.222,1.409,0.666
8,6,26,5.384,0.616,0.218,1.386,0.654
8,6,28,5.625,0.635,0.215,1.449,0.645
8,6,30,5.656,0.619,0.203,1.385,0.609
8,6,32,5.864,0.633,0.243,1.435,0.729
8,6,34,6.112,0.635,0.23,1.431,0.69
8,6,36,6.4,0.628,0.235,1.45,0.705
8,6,38,6.863,0.619,0.233,1.401,0.699
8,6,40,6.83,0.65,0.257,1.474,0.771
8,6,42,7.244,0.638,0.279,1.516,0.837
8,6,44,6.996,0.649,0.263,1.515,0.789
8,6,46,7.136,0.656,0.256,1.514,0.768
8,6,48,7.88,0.638,0.259,1.476,0.777
8,6,50,8.024,0.652,0.291,1.554,0.873
8,6,52,8.168,0.66,0.285,1.532,0.855
8,6,54,8.25,0.664,0.275,1.498,0.825
8,6,56,8.95,0.621,0.279,1.471,0.837
8,6,58,8.351,0.666,0.32,1.596,0.96
8,6,60,8.62,0.683,0.332,1.623,0.996
8,6,62,8.97,0.643,0.306,1.529,0.918
8,6,64,9.281,0.653,0.318,1.573,0.954
8,6,66,9.403,0.67,0.313,1.59,0.939
8,6,68,10.463,0.624,0.306,1.544,0.918
8,6,70,9.849,0.653,0.337,1.619,1.011
8,6,72,9.949,0.656,0.311,1.616,0.933
8,6,74,10.572,0.652,0.306,1.566,0.918
8,6,76,10.497,0.662,0.327,1.602,0.981
8,6,78,10.41,0.662,0.338,1.63,1.014
8,6,80,11.283,0.635,0.333,1.577,0.999
8,6,82,11.317,0.637,0.313,1.517,0.939
8,6,84,11.026,0.66,0.34,1.612,1.02
8,6,86,12.129,0.645,0.326,1.607,0.978
8,6,88,11.668,0.664,0.353,1.642,1.059
8,6,90,12.427,0.641,0.344,1.579,1.032
8,6,92,12.764,0.64,0.337,1.594,1.011
8,6,94,12.442,0.652,0.348,1.6,1.044
8,6,96,12.576,0.652,0.341,1.63,1.023
8,8,2,2.158,0.665,0.032,1.281,0.096
8,8,4,2.446,0.763,0.076,1.491,0.228
8,8,6,2.701,0.717,0.094,1.377,0.282
8,8,8,2.959,0.693,0.111,1.349,0.333
8,8,10,3.22,0.667,0.126,1.335,0.378
8,8,12,3.499,0.625,0.131,1.255,0.393
8,8,14,3.63,0.63,0.14,1.328,0.42
8,8,16,3.834,0.664,0.169,1.406,0.507
8,8,18,4.226,0.604,0.167,1.278,0.501
